n,p,reg_method,seed,oracle_stat,oracle_pval,oracle_reject,est_stat,est_pval,est_reject,f_mse,f_rmse,f_r2,f_cor,g_mse,g_rmse,g_r2,g_cor,stat_difference
200,5,linear,2093,0.427332031241489,0.669137505599784,0,0.327860325084985,0.743017273064293,0,0.033332583445611,0.1825721321714,0.986087159071996,0.994153395155098,0.00935759353458523,0.0967346552926366,0.642143386325313,0.828819806590897,0.0994717061565041
200,5,linear,2094,-0.890449329587133,0.373224664638098,0,-0.784915694585761,0.432502999474899,0,0.0273411582124253,0.165351619926825,0.986934753372485,0.995252187286585,0.0030862226750554,0.0555537818249613,0.877544873098686,0.975250802566619,0.105533635001372
200,5,linear,2095,0.0979369942892687,0.921982323982993,0,-0.000832445962660696,0.999335804295401,0,0.0268555136357007,0.163876519476406,0.987317346427325,0.994126326065684,0.00768907820693552,0.0876873890986356,0.688052172706612,0.886112439865356,0.0987694402519294
200,5,linear,2096,-0.564128138208645,0.572666929559826,0,-0.439290119949782,0.66045133223921,0,0.0113402632013616,0.106490671898348,0.994245219661313,0.997968739092202,0.00249931574474919,0.0499931569792225,0.898635401854186,0.965818539194709,0.124838018258864
200,5,linear,2097,-1.04586949329092,0.295621290883803,0,-0.855132290351112,0.392477915291862,0,0.0507477333784277,0.225272575735325,0.975644955761169,0.991143781708477,0.00865401174162965,0.0930269409452426,0.627163183732553,0.873698367166399,0.190737202939803
200,5,linear,2098,0.549560184210466,0.582621074300722,0,0.51561047018689,0.606126496126095,0,0.0083083107160129,0.0911499353593457,0.996395403049021,0.998502348485333,0.00252561040979726,0.0502554515430641,0.899949137112956,0.970769727252914,0.0339497140235755
200,5,linear,2099,-0.291042128202231,0.77101909976328,0,-0.306545681334166,0.759189204083085,0,0.0199104450563763,0.141104376460747,0.991431267380209,0.997840416180258,0.00558601122220768,0.0747396228396135,0.790118575761182,0.891730886384945,0.0155035531319348
200,5,linear,2100,-0.118325952842336,0.905809394452421,0,-0.110401220859742,0.912091184943069,0,0.00457342576952523,0.0676271082445881,0.997667927220226,0.999714437111812,0.00347133952062573,0.0589180746513812,0.855858397527407,0.974872673252766,0.00792473198259309
200,5,linear,2101,-1.4097041934457,0.158627045997598,0,-1.40163231665974,0.161025071505368,0,0.0102765866411841,0.101373500685259,0.994877351960128,0.997880806238308,0.0167984847049361,0.12960896845873,0.27821139815604,0.763655852146723,0.00807187678596066
200,5,linear,2102,-0.418313329251969,0.67571804537618,0,-0.447123549024905,0.654785856902939,0,0.0215413843373205,0.146769834561876,0.99079959455615,0.998464155009227,0.00517193009588194,0.071916132375719,0.79300036150904,0.97718991730377,0.0288102197729364
